STATISTIC Label,Quarter,Number of Bedrooms,Property Type,Location,UNIT,VALUE
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Dunmanway, Cork",Euro,983.96
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Fermoy, Cork",Euro,982.73
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Frankfield, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Glanmire, Cork",Euro,1274.92
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Kanturk, Cork",Euro,915.47
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Kinsale, Cork",Euro,1394.85
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Macroom, Cork",Euro,979.48
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Mallow, Cork",Euro,1046.34
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Midleton, Cork",Euro,1181.27
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Millstreet, Cork",Euro,892
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Mitchelstown, Cork",Euro,917.99
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Montenotte, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Passage West, Cork",Euro,1213.73
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rathcormac, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ringaskiddy, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rochestown, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Skibbereen, Cork",Euro,851.77
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Tivoli, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Tower, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Whitegate, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Wilton, Cork",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Youghal, Cork",Euro,937.08
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Donegal,Euro,777.91
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Donegal Town,Euro,701.46
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballybofey, Donegal",Euro,740.75
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Buncrana, Donegal",Euro,687.76
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Bundoran, Donegal",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Carndonagh, Donegal",Euro,660.7
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Letterkenny, Donegal",Euro,872.55
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Lifford, Donegal",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Stranorlar, Donegal",Euro,640.23
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin,Euro,1935.35
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Balbriggan, Dublin",Euro,1477.64
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Blackrock, Dublin",Euro,2341.85
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Booterstown, Dublin",Euro,2453.48
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Cabinteely, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Citywest, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Dalkey, Dublin",Euro,2715.94
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Donabate, Dublin",Euro,1597.86
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Dun Laoghaire, Dublin",Euro,2170.81
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Glenageary, Dublin",Euro,2652.13
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Howth, Dublin",Euro,2086.48
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Killiney, Dublin",Euro,2180.69
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Kinsealy, Dublin",Euro,1903.82
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Lucan, Dublin",Euro,2015.17
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Lusk, Dublin",Euro,1758.12
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Malahide, Dublin",Euro,2260.77
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Monkstown, Dublin",Euro,2032.92
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Mount Merrion, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Portmarnock, Dublin",Euro,2219.83
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rathcoole, Dublin",Euro,1732.77
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rush, Dublin",Euro,1623.52
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Saggart, Dublin",Euro,1661.28
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Sandycove, Dublin",Euro,2485.18
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Shankill, Dublin",Euro,1917.23
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Skerries, Dublin",Euro,1596.45
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Stepaside, Dublin",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Stillorgan, Dublin",Euro,2049.53
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Swords, Dublin",Euro,1686.24
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 1,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"I.F.S.C., Dublin 1",Euro,1994.56
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Parnell Street, Dublin 1",Euro,1691.19
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Spencer Dock, Dublin 1",Euro,2389.42
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Summerhill, Dublin 1",Euro,1479.26
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 2,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Aungier Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Charlemont Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Grand Canal Dock, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Grand Canal Square, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Hanover Quay, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Lower Mount Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Pearse Street, Dublin 2",Euro,1901.54
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Tara Street, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Temple Bar, Dublin 2",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Townsend Street, Dublin 2",Euro,1885.72
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 3,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clonliffe, Dublin 3",Euro,1596.36
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clontarf, Dublin 3",Euro,1901.67
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Drumcondra, Dublin 3",Euro,1686.72
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"East Wall, Dublin 3",Euro,1896.39
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Eastwall, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Fairview, Dublin 3",Euro,1644.24
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Marino, Dublin 3",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"North Strand, Dublin 3",Euro,1920.02
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 4,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballsbridge, Dublin 4",Euro,2473.72
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Donnybrook, Dublin 4",Euro,2346.06
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Irishtown, Dublin 4",Euro,2078.54
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Merrion, Dublin 4",Euro,2117.35
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Pembroke, Dublin 4",Euro,2244.2
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ringsend, Dublin 4",Euro,2140.52
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Sandymount, Dublin 4",Euro,2418.53
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 5,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Artane, Dublin 5",Euro,1958.14
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Killester, Dublin 5",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Raheny, Dublin 5",Euro,1865.23
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 6,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Dartry, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Harolds Cross, Dublin 6",Euro,2022.01
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Milltown, Dublin 6",Euro,2156.75
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ranelagh, Dublin 6",Euro,1854.94
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rathgar, Dublin 6",Euro,1659.11
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rathmines, Dublin 6",Euro,1560.77
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Terenure, Dublin 6",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 6W,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Harolds Cross, Dublin 6W",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Templeogue, Dublin 6W",Euro,2124.18
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Terenure, Dublin 6W",Euro,2074.03
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 7,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Arbour Hill, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Cabra, Dublin 7",Euro,1546.78
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Navan Road, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"North Circular Road, Dublin 7",Euro,1807.01
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Phibsboro, Dublin 7",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Smithfield, Dublin 7",Euro,1964.83
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Stoneybatter, Dublin 7",Euro,1835.55
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 8,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Christchurch, Dublin 8",Euro,1653.95
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Cork Street, Dublin 8",Euro,1676.47
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Dolphins Barn, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Inchicore, Dublin 8",Euro,1694.4
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Islandbridge, Dublin 8",Euro,1985.69
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Kilmainham , Dublin 8",Euro,1671.98
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Portobello, Dublin 8",Euro,1589.2
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rialto, Dublin 8",Euro,1647.57
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"South Circular Road, Dublin 8",Euro,1692.56
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"The Coombe, Dublin 8",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 9,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballymun, Dublin 9",Euro,1573.27
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Beaumont, Dublin 9",Euro,1807.15
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Drumcondra, Dublin 9",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Glasnevin, Dublin 9",Euro,1791.59
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Santry, Dublin 9",Euro,1929.94
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Whitehall, Dublin 9",Euro,1785.66
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 10,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballyfermot, Dublin 10",Euro,1722.8
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Cherry Orchard, Dublin 10",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 11,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballymun, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Finglas, Dublin 11",Euro,1693.83
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Glasnevin, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Meakstown, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"St Margarets Road, Dublin 11",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 12,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Crumlin, Dublin 12",Euro,1841.31
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Drimnagh, Dublin 12",Euro,1774.53
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Kimmage, Dublin 12",Euro,1800.36
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Walkinstown, Dublin 12",Euro,1710.39
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 13,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Baldoyle, Dublin 13",Euro,1871.6
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Balgriffin, Dublin 13",Euro,1999.14
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clongriffin, Dublin 13",Euro,1689.41
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Donaghmede, Dublin 13",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Sutton, Dublin 13",Euro,2202.57
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 14,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Churchtown, Dublin 14",Euro,2392.66
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clonskeagh, Dublin 14",Euro,2327.34
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Dundrum, Dublin 14",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Goatstown, Dublin 14",Euro,2766.71
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rathfarnham, Dublin 14",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 15,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ashtown, Dublin 15",Euro,1737.47
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Blanchardstown, Dublin 15",Euro,1684.15
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Carpenterstown, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Castleknock, Dublin 15",Euro,1981.37
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clonee, Dublin 15",Euro,1802.8
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clonsilla, Dublin 15",Euro,1749.4
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Coolmine, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Mulhuddart, Dublin 15",Euro,1558.76
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ongar, Dublin 15",Euro,1722.73
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Porterstown, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Royal Canal Park, Dublin 15",Euro,1717.2
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Tyrrelstown, Dublin 15",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 16,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballinteer, Dublin 16",Euro,2071.55
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Dundrum, Dublin 16",Euro,2184.61
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Knocklyon, Dublin 16",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rathfarnham, Dublin 16",Euro,2063.32
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Sandyford, Dublin 16",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 17,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Malahide Road, Dublin 17",Euro,1684.54
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Northern Cross, Dublin 17",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 18,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Cabinteely, Dublin 18",Euro,2020.83
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Carrickmines, Dublin 18",Euro,1992.34
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Foxrock, Dublin 18",Euro,2989.67
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Leopardstown, Dublin 18",Euro,2073.3
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Sandyford, Dublin 18",Euro,1979.24
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Stepaside, Dublin 18",Euro,1891.59
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 20,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Chapelizod, Dublin 20",Euro,1672.71
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Palmerstown, Dublin 20",Euro,1785.44
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clondalkin, Dublin 22",Euro,1584.25
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Dublin 24,Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballycullen, Dublin 24",Euro,1780.16
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Citywest, Dublin 24",Euro,1846.39
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Firhouse, Dublin 24",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Tallaght, Dublin 24",Euro,1623.33
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Galway,Euro,1343.63
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Galway City,Euro,1522.4
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Athenry, Galway",Euro,1005.59
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballinasloe, Galway",Euro,874.6
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballybane, Galway",Euro,1209.41
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Ballybrit, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Barna, Galway",Euro,1586.98
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Bohermore, Galway",Euro,1495.76
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Claregalway, Galway",Euro,1193.85
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Clifden, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Doughiska, Galway",Euro,1384.9
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Gort, Galway",Euro,941.2
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Headford, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Knocknacarra, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Loughrea, Galway",Euro,1049.01
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Mervue, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Monivea, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Moycullen, Galway",Euro,1380.74
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Newcastle, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Oranmore, Galway",Euro,1170.08
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Oughterard, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Portumna, Galway",Euro,848.28
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Rahoon, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Renmore, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Roscam, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Salthill, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Tuam, Galway",Euro,1076.09
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Wellpark, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Woodquay, Galway",Euro,
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,Kerry,Euro,946.09
RTB Average Monthly Rent Report,2023Q1,All bedrooms,All property types,"Castleisland, Kerry",Euro,769.37
